event_id,run_id,channel,kind,start_ts,end_ts,start_t_s,duration_s,value_start,value_end,delta,value_min,value_max,peak_rate_per_s,mean_abs_z,direction
97,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:38:43,2026-06-02 17:39:19,749.0,36.0,27.709356,1003.186,975.4766440000001,27.709356,1003.186,164.1015,1639.1985215061072,up
98,lh_and_evap,heaterFanSpeed,ramp,2026-06-02 17:38:46,2026-06-02 17:38:58,752.0,12.0,7050.0,10380.0,3330.0,0.0,10380.0,4260.0,2.3197408669569906,up
99,lh_and_evap,vialTemp,ramp,2026-06-02 17:38:53,2026-06-02 17:39:01,759.0,8.0,37.5,36.3,-1.2000000000000028,34.8,38.900004,-0.6499999999999986,4.646497894089882,down
100,lh_and_evap,powerMon,ramp,2026-06-02 17:39:08,2026-06-02 17:39:20,774.0,12.0,23.890046,23.901862,0.011815999999999605,23.86548,23.901862,0.013740000000000308,44.28252536064535,up
101,lh_and_evap,vialTemp,ramp,2026-06-02 17:39:11,2026-06-02 17:39:14,777.0,3.0,35.400004,34.2,-1.2000039999999998,34.2,35.400004,-0.45000200000000135,5.2273101308511425,down
102,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:39:15,2026-06-02 17:39:31,781.0,16.0,35.313952,31.006966,-4.306986000000002,31.006966,35.313952,-0.31700000000000017,5.383070317577968,down
103,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:39:18,2026-06-02 17:39:22,784.0,4.0,97.65625,16.310021,-81.346229,16.310021,97.65625,-25.009527,5.961525782717047,down
104,lh_and_evap,targetSpeed,ramp,2026-06-02 17:39:19,2026-06-02 17:39:22,785.0,3.0,40.65088,12.024766,-28.626114,12.024766,40.65088,-13.423,6.118409113708453,down
105,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:39:46,2026-06-02 17:40:24,812.0,38.0,49.991284,54.281504,4.290219999999998,49.991284,54.281504,0.16202399999999884,9.276807164046362,up
106,lh_and_evap,powerMon,ramp,2026-06-02 17:42:59,2026-06-02 17:43:23,1005.0,24.0,23.902602,23.89199,-0.010612000000001842,23.87156,23.902602,0.008086999999999733,20.735658010612994,down
107,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:43:00,2026-06-02 17:43:03,1006.0,3.0,9.021362,72.33796,63.316598,9.021362,72.33796,25.118025999999997,6.509433446962739,up
108,lh_and_evap,targetSpeed,ramp,2026-06-02 17:43:00,2026-06-02 17:43:03,1006.0,3.0,13.099995,43.978028,30.878033000000002,13.099995,43.978028,12.526807000000002,6.329662597843469,up
109,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:43:03,2026-06-02 17:44:31,1009.0,88.0,1003.2418,29.684584,-973.557216,29.682832,1003.2418,-66.95441,680.0207608902251,down
110,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:43:03,2026-06-02 17:43:40,1009.0,37.0,50.00444,54.318116,4.313676000000001,50.00444,54.318116,0.15216799999999964,9.477487145279436,up
111,lh_and_evap,vialTemp,ramp,2026-06-02 17:43:12,2026-06-02 17:43:15,1018.0,3.0,25.4,23.9,-1.5,23.9,25.4,-0.5500000000000007,5.901794145420124,down
112,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:43:17,2026-06-02 17:45:12,1023.0,115.0,25.09794,36.424988,11.327047999999998,2.859976,38.873984,1.9465019999999988,11.161294955281203,up
113,lh_and_evap,vialTemp,ramp,2026-06-02 17:43:22,2026-06-02 17:43:29,1028.0,7.0,23.3,17.200002,-6.099997999999999,17.200002,23.3,-1.300001,10.707539120463897,down
114,lh_and_evap,powerMon,ramp,2026-06-02 17:43:35,2026-06-02 17:44:00,1041.0,25.0,23.89259,23.876308,-0.0162819999999968,23.873618,23.89299,0.0026479999999988735,11.500415922825926,down
115,lh_and_evap,vialTemp,ramp,2026-06-02 17:43:41,2026-06-02 17:44:50,1047.0,69.0,14.8,39.599996,24.799995999999997,1.2,40.099996,3.3500020000000017,11.302538012371924,up
116,lh_and_evap,powerMon,ramp,2026-06-02 17:44:13,2026-06-02 17:44:24,1079.0,11.0,23.887194,23.887408,0.00021399999999971442,23.880156,23.887408,0.002717999999999776,10.138334363317325,up
